Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,12791.330078,12928.769531,12642.099609,12750.549805,12750.549805,0
2010-01-05,12910.370117,13157.769531,12868.650391,13142.030273,13142.030273,0
2010-01-06,13175.110352,13350.120117,13114.740234,13246.209961,13246.209961,0
2010-01-07,13354.969727,13354.969727,13019.030273,13073.200195,13073.200195,0
2010-01-08,13082.700195,13131.049805,12952.179688,13035.089844,13035.089844,0
2010-01-11,13246.860352,13322.259766,13066.679688,13119.030273,13119.030273,0
2010-01-12,13075.700195,13102.719727,12915.360352,12967.370117,12967.370117,0
2010-01-13,12717.959961,12717.959961,12420.330078,12482.179688,12482.179688,0
2010-01-14,12535.799805,12631.910156,12358.169922,12363.370117,12363.370117,0
2010-01-15,12401.799805,12477.410156,12297.259766,12356.879883,12356.879883,0
2010-01-18,12237.459961,12443.030273,12179.110352,12290.259766,12290.259766,0
2010-01-19,12291.389648,12603.959961,12230.549805,12600.759766,12600.759766,0
2010-01-20,12502.299805,12510.009766,12196.240234,12282.089844,12282.089844,0
2010-01-21,12210.080078,12257.820313,11940.179688,11957.830078,11957.830078,0
2010-01-22,11751.559570,11987.250000,11581.379883,11975.650391,11975.650391,0
2010-01-25,11817.820313,11941.179688,11767.900391,11858.459961,11858.459961,0
2010-01-26,11827.900391,11827.900391,11394.459961,11410.120117,11410.120117,0
2010-01-27,11514.900391,11574.929688,11273.459961,11372.690430,11372.690430,0
2010-01-28,11517.230469,11692.030273,11500.530273,11636.030273,11636.030273,0
2010-01-29,11390.690430,11626.099609,11324.849609,11498.200195,11498.200195,0
2010-02-01,11384.959961,11637.830078,11325.209961,11621.639648,11621.639648,0
2010-02-02,11779.209961,11845.030273,11510.639648,11570.349609,11570.349609,0
2010-02-03,11734.190430,11891.019531,11577.809570,11838.719727,11838.719727,0
2010-02-04,11721.540039,11729.379883,11575.320313,11605.879883,11605.879883,0
2010-02-05,11180.660156,11237.759766,11126.030273,11131.780273,11131.780273,0
2010-02-08,11106.190430,11167.400391,10919.379883,10989.190430,10989.190430,0
2010-02-09,10986.120117,11265.259766,10965.650391,11200.330078,11200.330078,0
2010-02-10,11270.230469,11394.650391,11164.820313,11345.639648,11345.639648,0
2010-02-11,11441.120117,11600.089844,11441.120117,11582.309570,11582.309570,0
2010-02-12,11564.610352,11672.839844,11514.910156,11536.360352,11536.360352,0
2010-02-17,11771.570313,11816.469727,11666.250000,11708.339844,11708.339844,0
2010-02-18,11678.129883,11714.110352,11570.419922,11601.669922,11601.669922,0
2010-02-19,11483.629883,11483.629883,11242.019531,11263.830078,11263.830078,0
2010-02-22,11567.440430,11596.469727,11491.320313,11519.559570,11519.559570,0
2010-02-23,11404.879883,11706.540039,11341.730469,11619.679688,11619.679688,0
2010-02-24,11475.080078,11549.929688,11433.690430,11493.410156,11493.410156,0
2010-02-25,11466.650391,11578.530273,11321.190430,11388.500000,11388.500000,0
2010-02-26,11522.230469,11559.040039,11470.860352,11543.730469,11543.730469,0
2010-03-01,11710.339844,11913.450195,11710.339844,11913.450195,11913.450195,0
2010-03-02,12003.169922,12050.549805,11926.190430,12017.549805,12017.549805,0
2010-03-03,12071.809570,12093.719727,11984.730469,12048.250000,12048.250000,0
2010-03-04,12131.690430,12131.690430,11767.209961,11775.059570,11775.059570,0
2010-03-05,11915.889648,11934.719727,11780.269531,11927.370117,11927.370117,0
2010-03-08,12130.540039,12236.120117,12117.549805,12202.799805,12202.799805,0
2010-03-09,12173.839844,12257.610352,12138.519531,12210.339844,12210.339844,0
2010-03-10,12278.219727,12278.219727,12182.750000,12217.330078,12217.330078,0
2010-03-11,12302.190430,12302.190430,12062.269531,12170.040039,12170.040039,0
2010-03-12,12184.959961,12203.780273,12101.799805,12173.280273,12173.280273,0
2010-03-15,12051.450195,12053.519531,11918.230469,11971.490234,11971.490234,0
2010-03-16,12014.099609,12046.679688,11910.969727,11940.469727,11940.469727,0
2010-03-17,12070.410156,12260.330078,12049.009766,12231.469727,12231.469727,0
2010-03-18,12229.719727,12308.719727,12190.190430,12208.360352,12208.360352,0
2010-03-19,12256.000000,12275.690430,12124.500000,12262.360352,12262.360352,0
2010-03-22,12157.519531,12157.519531,11976.490234,12008.650391,12008.650391,0
2010-03-23,12093.469727,12202.830078,12000.879883,12020.849609,12020.849609,0
2010-03-24,12185.230469,12185.230469,11998.790039,12048.629883,12048.629883,0
2010-03-25,11931.509766,11949.690430,11825.780273,11902.490234,11902.490234,0
2010-03-26,11794.339844,12106.559570,11794.339844,12050.330078,12050.330078,0
2010-03-29,12149.599609,12277.820313,12143.669922,12215.480469,12215.480469,0
2010-03-30,12250.940430,12460.309570,12219.570313,12414.200195,12414.200195,0
2010-03-31,12460.650391,12516.410156,12386.379883,12397.589844,12397.589844,0
2010-04-01,12546.320313,12696.049805,12546.320313,12696.049805,12696.049805,0
2010-04-07,12943.450195,13001.580078,12888.410156,12987.820313,12987.820313,0
2010-04-08,12900.160156,12947.200195,12826.509766,12855.309570,12855.309570,0
2010-04-09,12953.400391,13079.030273,12891.259766,13046.719727,13046.719727,0
2010-04-12,13163.700195,13163.700195,12941.709961,12953.450195,12953.450195,0
2010-04-13,12960.339844,13032.980469,12790.799805,12839.849609,12839.849609,0
2010-04-14,12878.349609,12883.519531,12757.490234,12842.469727,12842.469727,0
2010-04-15,12947.400391,13001.889648,12782.889648,12813.879883,12813.879883,0
2010-04-16,12715.530273,12749.070313,12512.860352,12557.400391,12557.400391,0
2010-04-19,12346.589844,12346.589844,12143.379883,12253.780273,12253.780273,0
2010-04-20,12298.839844,12447.250000,12298.839844,12436.559570,12436.559570,0
2010-04-21,12553.429688,12553.429688,12360.440430,12370.980469,12370.980469,0
2010-04-22,12187.339844,12344.349609,12157.780273,12330.889648,12330.889648,0
2010-04-23,12281.910156,12322.790039,12143.809570,12168.179688,12168.179688,0
2010-04-26,12342.030273,12417.309570,12337.769531,12380.709961,12380.709961,0
2010-04-27,12214.169922,12276.009766,12126.459961,12171.009766,12171.009766,0
2010-04-28,11909.389648,12022.120117,11909.389648,11987.669922,11987.669922,0
2010-04-29,12014.549805,12051.040039,11873.870117,11881.400391,11881.400391,0
2010-04-30,11989.969727,12192.690430,11987.410156,12181.200195,12181.200195,0
2010-05-03,11990.250000,12037.259766,11928.280273,11944.959961,11944.959961,0
2010-05-04,12022.469727,12096.669922,11845.530273,11864.219727,11864.219727,0
2010-05-05,11608.959961,11655.030273,11500.959961,11539.879883,11539.879883,0
2010-05-06,11476.750000,11590.480469,11255.110352,11449.219727,11449.219727,0
2010-05-07,11192.269531,11462.860352,11192.269531,11379.559570,11379.559570,0
2010-05-10,11569.230469,11755.269531,11518.410156,11717.320313,11717.320313,0
2010-05-11,11725.099609,11757.429688,11412.969727,11509.219727,11509.219727,0
2010-05-12,11517.799805,11586.219727,11394.509766,11510.299805,11510.299805,0
2010-05-13,11674.750000,11807.919922,11604.019531,11729.709961,11729.709961,0
2010-05-14,11632.549805,11733.650391,11578.290039,11588.969727,11588.969727,0
2010-05-17,11326.000000,11326.000000,11175.830078,11232.620117,11232.620117,0
2010-05-18,11280.790039,11478.820313,11199.150391,11426.179688,11426.179688,0
2010-05-19,11162.690430,11341.070313,11118.950195,11124.589844,11124.589844,0
2010-05-20,11178.099609,11273.620117,10877.530273,11048.379883,11048.379883,0
2010-05-24,11113.269531,11323.980469,11113.269531,11242.549805,11242.549805,0
2010-05-25,11021.530273,11021.530273,10726.469727,10729.049805,10729.049805,0
2010-05-26,10877.419922,11030.669922,10787.440430,11016.049805,11016.049805,0
2010-05-27,10886.349609,11314.530273,10838.059570,11208.759766,11208.759766,0
2010-05-28,11472.780273,11590.669922,11437.530273,11508.490234,11508.490234,0
2010-05-31,11476.129883,11577.599609,11372.969727,11494.309570,11494.309570,0
2010-06-01,11330.980469,11481.040039,11209.129883,11233.959961,11233.959961,0
2010-06-02,11298.599609,11311.019531,11067.629883,11158.839844,11158.839844,0
2010-06-03,11414.099609,11484.950195,11365.419922,11397.410156,11397.410156,0
2010-06-04,11373.580078,11420.959961,11281.929688,11375.509766,11375.509766,0
