Date,Open,High,Low,Close,Adj Close,Volume
2010-03-05,2566.053955,2583.087891,2566.053955,2578.771973,2578.695557,25418300
2010-03-08,2578.974121,2627.695068,2578.974121,2626.450928,2626.372803,29813600
2010-03-09,2626.250000,2657.382080,2624.114990,2657.166992,2657.088135,30408700
2010-03-10,2656.862061,2676.273926,2652.849121,2670.218994,2670.139648,30181300
2010-03-11,2670.118896,2687.117920,2661.928955,2676.521973,2676.442627,40847100
2010-03-12,2676.113037,2686.237061,2661.056885,2666.510986,2666.431885,52724000
2010-03-15,2666.409912,2683.107910,2658.554932,2669.607910,2669.528809,29518100
2010-03-17,2669.406982,2756.261963,2669.406982,2756.261963,2756.180176,65719300
2010-03-18,2756.462891,2779.355957,2718.305908,2737.241943,2737.160645,60311400
2010-03-19,2738.802979,2758.125977,2725.648926,2742.974121,2742.892578,38764300
2010-03-22,2742.672119,2742.672119,2698.262939,2702.400879,2702.320557,34251000
2010-03-23,2702.602051,2746.135010,2702.602051,2720.862061,2720.781250,27466700
2010-03-24,2721.164063,2774.850098,2721.164063,2774.850098,2774.767578,33240000
2010-03-25,2773.297119,2814.861084,2760.200928,2799.148926,2799.065918,42022300
2010-03-26,2799.250000,2813.082031,2792.361084,2813.082031,2812.998535,40138200
2010-03-29,2813.490967,2813.795898,2780.429932,2794.770996,2794.687988,46152900
2010-03-30,2795.179932,2818.940918,2787.504883,2798.268066,2798.185059,41374000
2010-03-31,2798.677002,2809.472900,2758.261963,2777.301025,2777.218506,41736300
2010-04-01,2777.704102,2834.240967,2777.704102,2829.996094,2829.912109,42051100
2010-04-05,2831.031006,2890.176025,2831.031006,2887.246094,2887.160400,44192300
2010-04-06,2888.805908,2911.462891,2871.747070,2880.968994,2880.883545,84458100
2010-04-07,2881.371094,2916.108887,2881.371094,2898.582031,2898.496094,65778000
2010-04-08,2898.179932,2898.179932,2837.399902,2850.833984,2850.749268,51323800
2010-04-09,2850.633057,2870.968994,2833.243896,2845.010986,2844.926758,42393300
2010-04-12,2845.614014,2882.714111,2845.614014,2881.333008,2881.247559,50485000
2010-04-13,2881.028076,2884.946045,2856.249023,2884.699951,2884.614258,49876500
2010-04-14,2884.900879,2897.329102,2875.252930,2885.014893,2884.929199,50442600
2010-04-15,2885.115967,2913.718018,2885.115967,2900.530029,2900.444092,57186200
2010-04-16,2900.833984,2903.278076,2860.927002,2878.670898,2878.585449,36312000
2010-04-19,2877.968018,2877.968018,2811.788086,2840.425049,2840.340820,37623100
2010-04-20,2840.625977,2892.620117,2840.625977,2891.270020,2891.184082,40735900
2010-04-21,2891.470947,2916.552002,2891.470947,2912.825928,2912.739502,65446100
2010-04-22,2912.726074,2927.394043,2883.013916,2926.531982,2926.445068,50073500
2010-04-23,2926.129883,2926.388916,2907.030029,2924.730957,2924.644043,38537700
2010-04-26,2924.931885,2954.829102,2924.931885,2944.708984,2944.621582,40750000
2010-04-27,2943.677002,2944.439941,2930.418945,2939.299072,2939.211914,42008700
2010-04-28,2938.998047,2938.998047,2875.667969,2903.319092,2903.232910,51624300
2010-04-29,2903.520020,2927.964111,2903.520020,2926.860107,2926.773193,61415100
2010-04-30,2927.260986,2972.916992,2927.260986,2971.251953,2971.163818,52354600
