Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,8222.419922,8240.450195,8143.450195,8207.849609,8207.817383,6429400
2010-01-05,8277.709961,8283.639648,8162.540039,8211.400391,8211.368164,6762000
2010-01-06,8237.099609,8327.870117,8216.919922,8327.620117,8327.587891,6421600
2010-01-07,8344.559570,8369.549805,8233.589844,8237.419922,8237.387695,7133000
2010-01-08,8266.870117,8290.660156,8178.930176,8280.900391,8280.868164,5764400
2010-01-11,8291.519531,8357.900391,8281.719727,8323.820313,8323.788086,5857000
2010-01-12,8343.730469,8356.969727,8262.580078,8309.370117,8309.337891,5246000
2010-01-13,8229.250000,8257.830078,8194.809570,8196.559570,8196.527344,4925600
2010-01-14,8245.860352,8313.940430,8237.669922,8289.980469,8289.948242,4837200
2010-01-15,8340.599609,8380.230469,8325.820313,8356.889648,8356.857422,5643400
2010-01-18,8290.379883,8367.650391,8290.379883,8337.820313,8337.788086,5100400
2010-01-19,8387.660156,8395.389648,8227.299805,8249.000000,8248.967773,5582400
2010-01-20,8309.190430,8309.190430,8191.439941,8220.929688,8220.897461,5009800
2010-01-21,8189.500000,8208.209961,8107.549805,8127.870117,8127.839355,4596800
2010-01-22,7986.430176,8015.950195,7912.850098,7927.310059,7927.279785,4907200
2010-01-25,7845.299805,7938.140137,7828.339844,7872.990234,7872.960449,3663800
2010-01-26,7903.029785,7922.069824,7572.580078,7598.810059,7598.781250,5680000
2010-01-27,7639.720215,7656.950195,7530.410156,7560.029785,7560.000977,3986200
2010-01-28,7630.160156,7756.770020,7607.560059,7694.580078,7694.551270,3931200
2010-01-29,7593.379883,7649.729980,7481.899902,7640.439941,7640.411133,3949400
2010-02-01,7653.890137,7661.700195,7493.810059,7524.669922,7524.641602,3222400
2010-02-02,7633.740234,7635.729980,7398.799805,7429.609863,7429.582031,3759800
2010-02-03,7523.790039,7550.819824,7441.919922,7547.979980,7547.951172,3152400
2010-02-04,7563.189941,7578.180176,7504.959961,7542.040039,7542.011719,2813800
2010-02-05,7323.160156,7352.979980,7196.390137,7217.830078,7217.802734,4614600
2010-02-08,7236.629883,7253.240234,7173.180176,7215.879883,7215.852539,3033600
2010-02-09,7225.709961,7381.819824,7197.129883,7361.040039,7361.012207,3730000
2010-02-10,7438.120117,7496.339844,7404.970215,7441.839844,7441.812012,3984400
2010-02-22,7619.870117,7619.870117,7553.290039,7560.040039,7560.011230,3187400
2010-02-23,7575.620117,7597.439941,7502.450195,7597.439941,7597.411133,2992800
2010-02-24,7516.470215,7585.189941,7515.379883,7529.669922,7529.641602,2858200
2010-02-25,7568.419922,7568.419922,7400.419922,7426.959961,7426.932129,3420800
2010-02-26,7451.169922,7479.279785,7383.680176,7436.100098,7436.072266,2737400
2010-03-01,7492.839844,7620.560059,7451.089844,7577.750000,7577.721191,3501600
2010-03-02,7649.620117,7664.490234,7592.660156,7597.620117,7597.591309,3158200
2010-03-03,7628.779785,7670.250000,7604.859863,7629.520020,7629.491211,3005000
2010-03-04,7664.000000,7664.000000,7524.189941,7569.799805,7569.770996,3480400
2010-03-05,7659.759766,7694.890137,7618.000000,7666.259766,7666.230957,3218800
2010-03-08,7741.799805,7763.759766,7716.279785,7762.270020,7762.241211,3455000
2010-03-09,7762.399902,7770.589844,7737.649902,7770.589844,7770.561035,2978600
2010-03-10,7797.700195,7803.270020,7736.700195,7779.080078,7779.051270,2974000
2010-03-11,7817.589844,7818.839844,7749.399902,7749.660156,7749.631348,3106000
2010-03-12,7773.520020,7773.520020,7726.089844,7748.330078,7748.301270,2575400
2010-03-15,7750.870117,7766.359863,7634.919922,7634.919922,7634.891113,2705800
2010-03-16,7671.410156,7695.810059,7645.169922,7695.629883,7695.601074,2343400
2010-03-17,7763.430176,7849.379883,7762.850098,7847.839844,7847.810547,3959000
2010-03-18,7861.270020,7922.479980,7847.549805,7886.339844,7886.309570,4674600
2010-03-19,7899.009766,7899.009766,7859.290039,7897.910156,7897.879883,4037000
2010-03-22,7861.899902,7872.779785,7791.250000,7835.979980,7835.950684,3768800
2010-03-23,7880.120117,7889.040039,7804.399902,7811.870117,7811.841309,4063400
2010-03-24,7875.270020,7881.370117,7822.709961,7822.709961,7822.680664,4041400
2010-03-25,7824.740234,7856.310059,7753.509766,7838.100098,7838.070801,3696800
2010-03-26,7808.149902,7909.410156,7770.419922,7876.859863,7876.830078,3781000
2010-03-29,7918.950195,7961.140137,7909.060059,7947.450195,7947.419922,3972800
2010-03-30,7992.120117,7994.620117,7942.470215,7962.220215,7962.189941,3880200
2010-03-31,7962.910156,7974.890137,7920.060059,7920.060059,7920.029785,3841600
2010-04-01,7952.620117,8026.060059,7952.620117,8013.089844,8013.059082,4758600
2010-04-02,8046.290039,8050.990234,8021.910156,8025.930176,8025.899414,3764600
2010-04-06,8083.029785,8128.080078,8082.370117,8089.649902,8089.619141,4339600
2010-04-07,8131.399902,8133.450195,8091.279785,8121.779785,8121.749023,4172600
2010-04-08,8106.000000,8149.680176,8038.370117,8057.600098,8057.569336,5082800
2010-04-09,8073.520020,8094.350098,8039.410156,8092.029785,8091.999023,3819000
2010-04-12,8149.759766,8152.529785,8092.939941,8117.750000,8117.719238,4184800
2010-04-13,8090.540039,8104.140137,8022.939941,8029.729980,8029.699219,4054200
2010-04-14,8077.939941,8102.379883,8040.009766,8097.129883,8097.099121,3749000
2010-04-15,8168.109863,8190.009766,8136.319824,8171.939941,8171.909180,5190600
2010-04-16,8161.850098,8162.850098,8090.680176,8111.569824,8111.539063,4369400
2010-04-19,8003.020020,8042.049805,7845.770020,7854.220215,7854.190430,5187400
2010-04-20,7908.109863,7923.270020,7842.069824,7900.419922,7900.389648,3753600
2010-04-21,7949.959961,7998.759766,7947.899902,7990.529785,7990.499023,3901200
2010-04-22,7948.890137,7985.490234,7897.140137,7978.689941,7978.659180,3692800
2010-04-23,8021.709961,8030.109863,7996.770020,8004.890137,8004.859375,4027600
2010-04-26,8107.220215,8168.470215,8093.140137,8158.140137,8158.109375,4437400
2010-04-27,8174.850098,8174.850098,8121.140137,8146.439941,8146.409180,3716000
2010-04-28,7944.700195,8092.479980,7944.700195,8081.549805,8081.519043,4334800
2010-04-29,8105.959961,8107.359863,8053.020020,8054.049805,8054.019043,4648600
2010-04-30,8116.390137,8163.939941,7999.279785,8004.250000,8004.219238,5150600
